iter	Passed	Remaining
411	2566	3663
412	2569	3652
413	2575	3645
414	2577	3633
415	2580	3623
416	2584	3612
417	2589	3605
418	2593	3596
419	2596	3585
420	2599	3574
421	2602	3564
422	2605	3553
423	2608	3543
424	2610	3532
425	2614	3522
426	2619	3515
427	2622	3505
428	2625	3494
429	2635	3493
430	2675	3532
431	2705	3557
432	2708	3546
433	2711	3536
434	2720	3533
435	2725	3526
436	2729	3516
437	2733	3506
438	2738	3499
439	2743	3492
440	2747	3482
441	2758	3482
442	2763	3474
443	2768	3467
444	2773	3458
445	2778	3451
446	2785	3445
447	2793	3441
448	2795	3430
449	2799	3421
450	2806	3416
451	2808	3405
452	2814	3398
453	2817	3388
454	2820	3378
455	2824	3369
456	2826	3358
457	2834	3354
458	2839	3346
459	2842	3336
460	2890	3379
461	2905	3383
462	2919	3386
463	2936	3392
464	2947	3391
465	2951	3382
466	2959	3377
467	2965	3371
468	2971	3364
469	2973	3353
470	2977	3343
471	2986	3340
472	2989	3330
473	2996	3325
474	3001	3317
475	3005	3308
476	3009	3300
477	3012	3289
478	3018	3283
479	3022	3274
480	3026	3265
481	3033	3259
482	3035	3249
483	3040	3241
484	3046	3234
485	3050	3226
486	3053	3216
487	3056	3207
488	3061	3198
489	3065	3191
490	3068	3180
491	3076	3176
492	3080	3167
493	3083	3158
494	3086	3148
495	3092	3142
496	3096	3134
497	3099	3123
498	3103	3115
499	3106	3106
500	3109	3096
501	3111	3086
502	3116	3079
503	3118	3069
504	3121	3059
505	3125	3051
506	3127	3040
507	3128	3030
508	3134	3024
509	3138	3014
510	3143	3008
511	3149	3001
512	3153	2993
513	3156	2984
514	3163	2979
515	3208	3009
516	3285	3069
517	3289	3060
518	3295	3054
519	3302	3048
520	3308	3041
521	3314	3035
522	3318	3026
523	3322	3018
524	3327	3010
525	3330	3001
526	3335	2993
527	3346	2991
528	3351	2983
529	3356	2976
530	3359	2967
531	3363	2958
532	3369	2952
533	3376	2946
534	3378	2936
535	3384	2929
536	3391	2923
537	3395	2915
538	3401	2909
539	3408	2903
540	3414	2896
541	3417	2887
542	3421	2879
543	3426	2871
544	3428	2862
545	3431	2853
546	3436	2846
547	3439	2836
548	3441	2827
549	3444	2818
550	3480	2835
551	3482	2826
552	3486	2817
553	3488	2808
554	3489	2798
555	3492	2788
556	3493	2778
557	3495	2768
558	3497	2759
559	3499	2749
560	3502	2741
561	3506	2732
562	3511	2725
563	3515	2717
564	3518	2708
565	3524	2702
566	3527	2693
567	3532	2686
568	3538	2680
569	3542	2672
570	3548	2666
571	3550	2656
572	3556	2649
573	3558	2640
574	3560	2631
575	3567	2626
576	3572	2618
577	3581	2614
578	3584	2606
579	3589	2599
580	3593	2591
581	3596	2582
582	3597	2573
583	3601	2565
584	3603	2556
585	3606	2547
586	3609	2539
587	3613	2531
588	3617	2524
589	3622	2517
590	3625	2509
591	3630	2501
592	3635	2495
593	3638	2486
594	3644	2480
595	3649	2473
596	3651	2464
597	3653	2455
598	3654	2446
599	3658	2439
600	3660	2429
601	3661	2420
602	3664	2412
603	3666	2403
604	3668	2395
605	3671	2386
606	3672	2378
607	3674	2369
608	3676	2360
609	3678	2351
610	3680	2343
611	3682	2334
612	3684	2326
613	3689	2319
614	3692	2311
615	3695	2303
616	3700	2297
617	3703	2288
618	3704	2280
619	3709	2273
620	3713	2266
621	3715	2258
622	3720	2251
623	3722	2243
624	3725	2235
625	3727	2227
626	3731	2219
627	3738	2214
628	3740	2206
629	3744	2198
630	3746	2190
631	3748	2182
632	3751	2175
633	3754	2167
634	3757	2160
635	3759	2151
636	3763	2144
637	3766	2136
638	3768	2128
639	3770	2120
640	3771	2112
641	3783	2109
642	3787	2102
643	3791	2095
644	3795	2088
645	3797	2081
646	3800	2073
647	3804	2066
648	3808	2059
649	3812	2052
650	3817	2046
651	3819	2038
652	3823	2031
653	3826	2024
654	3830	2017
655	3833	2010
656	3838	2004
657	3840	1996
658	3843	1988
659	3848	1982
660	3852	1975
661	3855	1968
662	3859	1961
663	3862	1954
664	3865	1947
665	3868	1939
666	3872	1933
667	3876	1926
668	3878	1918
669	3880	1911
670	3881	1903
671	3883	1895
672	3884	1887
673	3887	1880
674	3889	1872
675	3892	1865
676	3894	1858
677	3897	1851
678	3904	1845
679	3908	1839
680	3910	1831
681	3912	1824
682	3914	1816
683	3918	1810
684	3924	1804
685	3925	1796
686	3927	1789
687	3931	1782
688	3932	1775
689	3934	1767
690	3938	1761
691	3940	1754
692	3943	1746
693	3947	1740
694	3949	1733
695	3952	1726
696	3954	1718
697	3955	1711
698	3959	1705
699	3961	1697
700	3964	1690
701	3967	1684
702	3968	1676
703	3971	1669
704	3974	1663
705	3976	1655
706	3978	1649
707	3981	1641
708	3984	1635
709	3986	1628
710	3990	1622
711	3994	1615
712	3999	1610
713	4002	1603
714	4003	1595
715	4005	1588
716	4010	1583
717	4012	1576
718	4014	1569
719	4020	1563
720	4022	1556
721	4024	1549
722	4027	1542
723	4029	1535
724	4032	1529
725	4035	1522
726	4037	1516
727	4040	1509
728	4042	1502
729	4047	1496
730	4049	1490
731	4051	1483
732	4054	1476
733	4058	1470
734	4060	1463
735	4063	1457
736	4065	1450
737	4067	1443
738	4068	1437
739	4070	1430
740	4074	1424
741	4077	1417
742	4079	1411
743	4081	1404
744	4085	1398
745	4088	1392
746	4094	1386
